z,zeta,status,sigma8_z0_CLASS,error
10.0,3.0,ok,0.6878847329565887,
10.0,3.1623330622689494,ok,0.7014886450561386,
10.0,3.33345013223977,ok,0.7148933382781884,
10.0,3.5138265215355418,ok,0.7280848755847154,
10.0,3.703963261376446,ok,0.7410457692136803,
10.0,3.9043884942934204,ok,0.7537700337442478,
10.0,4.1156589411488556,ok,0.7662399848048251,
10.0,4.338361447539279,ok,0.7784480261502169,
10.0,4.573114613875481,ok,0.790384421508015,
10.0,4.820570513667911,ok,0.8020419187893697,
10.0,5.0814165047902815,ok,0.8134141754140228,
10.0,5.356377138752477,ok,0.8244953265562045,
10.0,5.389452332657201,ok,0.8257714643686518,
10.0,5.646216173286171,ok,0.8352827823365709,
10.0,5.9517386938335095,ok,0.8457727103284293,
10.0,6.273793349831704,ok,0.8559619486597542,
10.0,6.613274712005288,ok,0.865852069423388,
10.0,6.971125757213828,ok,0.8754415238840316,
10.0,7.3483404877573175,ok,0.8847312415912444,
10.0,7.745966692414836,ok,0.8937212401944685,
10.0,8.165108856885828,ok,0.9024150638676229,
10.0,8.606931231718361,ok,0.9108179415336345,
10.0,9.072661066246061,ok,0.9189318814880731,
10.0,9.563592017516726,ok,0.9267604208387973,
10.0,10.081087743681516,ok,0.934308353575095,
10.0,10.626585691826111,ok,0.9415815869102092,
10.0,11.20160109076529,ok,0.948585468230809,
10.0,11.807731159891665,ok,0.9553252457946343,
10.0,12.446659545769569,ok,0.9618084062272734,
10.0,13.120160998797505,ok,0.968038607950988,
10.0,13.830106302929654,ok,0.9740257997335888,
10.0,14.578467472149546,ok,0.979773674909126,
10.0,15.367323228130308,ok,0.9852930998539362,
10.0,16.198864774296695,ok,0.9905871160685153,
10.0,17.07540188232742,ok,0.9956632181385171,
10.0,17.999369308004486,ok,1.000530439904218,
10.0,18.973333554230518,ok,1.0051943346658958,
10.0,20.000000000000004,ok,1.0096625966870612,
8.0,3.0,ok,0.6878847329565887,
8.0,3.1623330622689494,ok,0.7014886450561386,
8.0,3.33345013223977,ok,0.7148933382781884,
8.0,3.5138265215355418,ok,0.7280848755847154,
8.0,3.703963261376446,ok,0.7410457692136803,
8.0,3.9043884942934204,ok,0.7537700337442478,
8.0,4.1156589411488556,ok,0.7662399848048251,
8.0,4.338361447539279,ok,0.7784480261502169,
8.0,4.573114613875481,ok,0.790384421508015,
8.0,4.820570513667911,ok,0.8020419187893697,
8.0,5.0814165047902815,ok,0.8134141754140228,
8.0,5.356377138752477,ok,0.8244953265562045,
8.0,5.389452332657201,ok,0.8257714643686518,
8.0,5.646216173286171,ok,0.8352827823365709,
8.0,5.9517386938335095,ok,0.8457727103284293,
8.0,6.273793349831704,ok,0.8559619486597542,
8.0,6.613274712005288,ok,0.865852069423388,
8.0,6.971125757213828,ok,0.8754415238840316,
8.0,7.3483404877573175,ok,0.8847312415912444,
8.0,7.745966692414836,ok,0.8937212401944685,
8.0,8.165108856885828,ok,0.9024150638676229,
8.0,8.606931231718361,ok,0.9108179415336345,
8.0,9.072661066246061,ok,0.9189318814880731,
8.0,9.563592017516726,ok,0.9267604208387973,
8.0,10.081087743681516,ok,0.934308353575095,
8.0,10.626585691826111,ok,0.9415815869102092,
8.0,11.20160109076529,ok,0.948585468230809,
8.0,11.807731159891665,ok,0.9553252457946343,
8.0,12.446659545769569,ok,0.9618084062272734,
8.0,13.120160998797505,ok,0.968038607950988,
8.0,13.830106302929654,ok,0.9740257997335888,
8.0,14.578467472149546,ok,0.979773674909126,
8.0,15.367323228130308,ok,0.9852930998539362,
8.0,16.198864774296695,ok,0.9905871160685153,
8.0,17.07540188232742,ok,0.9956632181385171,
8.0,17.999369308004486,ok,1.000530439904218,
8.0,18.973333554230518,ok,1.0051943346658958,
8.0,20.000000000000004,ok,1.0096625966870612,
6.0,3.0,ok,0.6878847329565887,
6.0,3.1623330622689494,ok,0.7014886450561386,
6.0,3.33345013223977,ok,0.7148933382781884,
6.0,3.5138265215355418,ok,0.7280848755847154,
6.0,3.703963261376446,ok,0.7410457692136803,
6.0,3.9043884942934204,ok,0.7537700337442478,
6.0,4.1156589411488556,ok,0.7662399848048251,
6.0,4.338361447539279,ok,0.7784480261502169,
6.0,4.573114613875481,ok,0.790384421508015,
6.0,4.820570513667911,ok,0.8020419187893697,
6.0,5.0814165047902815,ok,0.8134141754140228,
6.0,5.356377138752477,ok,0.8244953265562045,
6.0,5.389452332657201,ok,0.8257714643686518,
6.0,5.646216173286171,ok,0.8352827823365709,
6.0,5.9517386938335095,ok,0.8457727103284293,
6.0,6.273793349831704,ok,0.8559619486597542,
6.0,6.613274712005288,ok,0.865852069423388,
6.0,6.971125757213828,ok,0.8754415238840316,
6.0,7.3483404877573175,ok,0.8847312415912444,
6.0,7.745966692414836,ok,0.8937212401944685,
6.0,8.165108856885828,ok,0.9024150638676229,
6.0,8.606931231718361,ok,0.9108179415336345,
6.0,9.072661066246061,ok,0.9189318814880731,
6.0,9.563592017516726,ok,0.9267604208387973,
6.0,10.081087743681516,ok,0.934308353575095,
6.0,10.626585691826111,ok,0.9415815869102092,
6.0,11.20160109076529,ok,0.948585468230809,
6.0,11.807731159891665,ok,0.9553252457946343,
6.0,12.446659545769569,ok,0.9618084062272734,
6.0,13.120160998797505,ok,0.968038607950988,
6.0,13.830106302929654,ok,0.9740257997335888,
6.0,14.578467472149546,ok,0.979773674909126,
6.0,15.367323228130308,ok,0.9852930998539362,
6.0,16.198864774296695,ok,0.9905871160685153,
6.0,17.07540188232742,ok,0.9956632181385171,
6.0,17.999369308004486,ok,1.000530439904218,
6.0,18.973333554230518,ok,1.0051943346658958,
6.0,20.000000000000004,ok,1.0096625966870612,
4.0,3.0,ok,0.6878847329565887,
4.0,3.1623330622689494,ok,0.7014886450561386,
4.0,3.33345013223977,ok,0.7148933382781884,
4.0,3.5138265215355418,ok,0.7280848755847154,
4.0,3.703963261376446,ok,0.7410457692136803,
4.0,3.9043884942934204,ok,0.7537700337442478,
4.0,4.1156589411488556,ok,0.7662399848048251,
4.0,4.338361447539279,ok,0.7784480261502169,
4.0,4.573114613875481,ok,0.790384421508015,
4.0,4.820570513667911,ok,0.8020419187893697,
4.0,5.0814165047902815,ok,0.8134141754140228,
4.0,5.356377138752477,ok,0.8244953265562045,
4.0,5.389452332657201,ok,0.8257714643686518,
4.0,5.646216173286171,ok,0.8352827823365709,
4.0,5.9517386938335095,ok,0.8457727103284293,
4.0,6.273793349831704,ok,0.8559619486597542,
4.0,6.613274712005288,ok,0.865852069423388,
4.0,6.971125757213828,ok,0.8754415238840316,
4.0,7.3483404877573175,ok,0.8847312415912444,
4.0,7.745966692414836,ok,0.8937212401944685,
4.0,8.165108856885828,ok,0.9024150638676229,
4.0,8.606931231718361,ok,0.9108179415336345,
4.0,9.072661066246061,ok,0.9189318814880731,
4.0,9.563592017516726,ok,0.9267604208387973,
4.0,10.081087743681516,ok,0.934308353575095,
4.0,10.626585691826111,ok,0.9415815869102092,
4.0,11.20160109076529,ok,0.948585468230809,
4.0,11.807731159891665,ok,0.9553252457946343,
4.0,12.446659545769569,ok,0.9618084062272734,
4.0,13.120160998797505,ok,0.968038607950988,
4.0,13.830106302929654,ok,0.9740257997335888,
4.0,14.578467472149546,ok,0.979773674909126,
4.0,15.367323228130308,ok,0.9852930998539362,
4.0,16.198864774296695,ok,0.9905871160685153,
4.0,17.07540188232742,ok,0.9956632181385171,
4.0,17.999369308004486,ok,1.000530439904218,
4.0,18.973333554230518,ok,1.0051943346658958,
4.0,20.000000000000004,ok,1.0096625966870612,
2.0,3.0,ok,0.6878847329565887,
2.0,3.1623330622689494,ok,0.7014886450561386,
2.0,3.33345013223977,ok,0.7148933382781884,
2.0,3.5138265215355418,ok,0.7280848755847154,
2.0,3.703963261376446,ok,0.7410457692136803,
2.0,3.9043884942934204,ok,0.7537700337442478,
2.0,4.1156589411488556,ok,0.7662399848048251,
2.0,4.338361447539279,ok,0.7784480261502169,
2.0,4.573114613875481,ok,0.790384421508015,
2.0,4.820570513667911,ok,0.8020419187893697,
2.0,5.0814165047902815,ok,0.8134141754140228,
2.0,5.356377138752477,ok,0.8244953265562045,
2.0,5.389452332657201,ok,0.8257714643686518,
2.0,5.646216173286171,ok,0.8352827823365709,
2.0,5.9517386938335095,ok,0.8457727103284293,
2.0,6.273793349831704,ok,0.8559619486597542,
2.0,6.613274712005288,ok,0.865852069423388,
2.0,6.971125757213828,ok,0.8754415238840316,
2.0,7.3483404877573175,ok,0.8847312415912444,
2.0,7.745966692414836,ok,0.8937212401944685,
2.0,8.165108856885828,ok,0.9024150638676229,
2.0,8.606931231718361,ok,0.9108179415336345,
2.0,9.072661066246061,ok,0.9189318814880731,
2.0,9.563592017516726,ok,0.9267604208387973,
2.0,10.081087743681516,ok,0.934308353575095,
2.0,10.626585691826111,ok,0.9415815869102092,
2.0,11.20160109076529,ok,0.948585468230809,
2.0,11.807731159891665,ok,0.9553252457946343,
2.0,12.446659545769569,ok,0.9618084062272734,
2.0,13.120160998797505,ok,0.968038607950988,
2.0,13.830106302929654,ok,0.9740257997335888,
2.0,14.578467472149546,ok,0.979773674909126,
2.0,15.367323228130308,ok,0.9852930998539362,
2.0,16.198864774296695,ok,0.9905871160685153,
2.0,17.07540188232742,ok,0.9956632181385171,
2.0,17.999369308004486,ok,1.000530439904218,
2.0,18.973333554230518,ok,1.0051943346658958,
2.0,20.000000000000004,ok,1.0096625966870612,
