z,zeta,omega_b,omega_cdm,status,sigma8_z0_CLASS,cooling_weighted_baryon_proxy,error
10.0,23.71373705661655,0.00579017813745368,0.13730676186254637,ok,1.0228428114430803,0.0029073471774411033,
10.0,31.622776601683793,0.004386412038042593,0.13871052796195743,class_rejected,,,"CosmoComputationError:   Error in Class: perturb_init(L:624) :condition ((pba->Omega0_b*pba->h*pba->h < _omegab_SMALL_) || (pba->Omega0_b*pba->h*pba->h > _omegab_BIG_)) is true; Your value of omega_b=4.573952e-312 is out of the bounds [4.573952e-312 , 0.000000e+00] and could cause a crash of the perturbation ODE integration. If you want to force this barrier, you may comment it out in perturbation.c"
10.0,42.169650342858226,0.0033147579112526512,0.13978218208874738,class_rejected,,,"CosmoComputationError:   Error in Class: perturb_init(L:624) :condition ((pba->Omega0_b*pba->h*pba->h < _omegab_SMALL_) || (pba->Omega0_b*pba->h*pba->h > _omegab_BIG_)) is true; Your value of omega_b=4.573952e-312 is out of the bounds [4.573952e-312 , 4.940656e-324] and could cause a crash of the perturbation ODE integration. If you want to force this barrier, you may comment it out in perturbation.c"
10.0,56.23413251903491,0.002500202828310692,0.14059673717168933,class_rejected,,,"CosmoComputationError:   Error in Class: perturb_init(L:624) :condition ((pba->Omega0_b*pba->h*pba->h < _omegab_SMALL_) || (pba->Omega0_b*pba->h*pba->h > _omegab_BIG_)) is true; Your value of omega_b=4.573952e-312 is out of the bounds [4.573952e-312 , 4.940656e-324] and could cause a crash of the perturbation ODE integration. If you want to force this barrier, you may comment it out in perturbation.c"
10.0,74.98942093324558,0.0018831166002134215,0.1412138233997866,class_rejected,,,"CosmoComputationError:   Error in Class: perturb_init(L:624) :condition ((pba->Omega0_b*pba->h*pba->h < _omegab_SMALL_) || (pba->Omega0_b*pba->h*pba->h > _omegab_BIG_)) is true; Your value of omega_b=4.573952e-312 is out of the bounds [4.573952e-312 , 4.940656e-324] and could cause a crash of the perturbation ODE integration. If you want to force this barrier, you may comment it out in perturbation.c"
10.0,100.0,0.0014168013861386142,0.14168013861386142,class_rejected,,,"CosmoComputationError:   Error in Class: perturb_init(L:624) :condition ((pba->Omega0_b*pba->h*pba->h < _omegab_SMALL_) || (pba->Omega0_b*pba->h*pba->h > _omegab_BIG_)) is true; Your value of omega_b=4.573952e-312 is out of the bounds [4.573952e-312 , 4.940656e-324] and could cause a crash of the perturbation ODE integration. If you want to force this barrier, you may comment it out in perturbation.c"
8.0,0.1,0.13008812727272728,0.01300881272727275,class_rejected,,,"CosmoComputationError:   Error in Class: perturb_init(L:624) :condition ((pba->Omega0_b*pba->h*pba->h < _omegab_SMALL_) || (pba->Omega0_b*pba->h*pba->h > _omegab_BIG_)) is true; Your value of omega_b=4.573952e-312 is out of the bounds [4.573952e-312 , 0.000000e+00] and could cause a crash of the perturbation ODE integration. If you want to force this barrier, you may comment it out in perturbation.c"
8.0,0.1333521432163324,0.1262599103522284,0.016837029647771645,class_rejected,,,"CosmoComputationError:   Error in Class: perturb_init(L:624) :condition ((pba->Omega0_b*pba->h*pba->h < _omegab_SMALL_) || (pba->Omega0_b*pba->h*pba->h > _omegab_BIG_)) is true; Your value of omega_b=4.573952e-312 is out of the bounds [4.573952e-312 , 4.940656e-324] and could cause a crash of the perturbation ODE integration. If you want to force this barrier, you may comment it out in perturbation.c"
8.0,0.1778279410038923,0.12149222736050473,0.021604712639495302,class_rejected,,,"CosmoComputationError:   Error in Class: perturb_init(L:624) :condition ((pba->Omega0_b*pba->h*pba->h < _omegab_SMALL_) || (pba->Omega0_b*pba->h*pba->h > _omegab_BIG_)) is true; Your value of omega_b=4.573952e-312 is out of the bounds [4.573952e-312 , 4.940656e-324] and could cause a crash of the perturbation ODE integration. If you want to force this barrier, you may comment it out in perturbation.c"
8.0,0.23713737056616552,0.11566778548974956,0.027429154510250478,class_rejected,,,"CosmoComputationError:   Error in Class: perturb_init(L:624) :condition ((pba->Omega0_b*pba->h*pba->h < _omegab_SMALL_) || (pba->Omega0_b*pba->h*pba->h > _omegab_BIG_)) is true; Your value of omega_b=4.573952e-312 is out of the bounds [4.573952e-312 , 4.940656e-324] and could cause a crash of the perturbation ODE integration. If you want to force this barrier, you may comment it out in perturbation.c"
