z,zeta,as_scale,hmf,cooling_scale,T_min,score
10.0,8.606931231718361,0.8,ST,0.5,10000.0,0.002728110978412371
10.0,9.072661066246061,0.8,ST,0.5,10000.0,0.0027526305289740692
10.0,9.563592017516726,0.8,ST,0.5,10000.0,0.0027668184049134048
10.0,10.081087743681516,0.8,ST,0.5,10000.0,0.0027712456054044474
10.0,10.626585691826111,0.8,ST,0.5,10000.0,0.002766523188453498
10.0,11.20160109076529,0.8,ST,0.5,10000.0,0.002753286683904558
10.0,11.807731159891665,0.8,ST,0.5,10000.0,0.002732248503197922
10.0,12.446659545769569,0.8,ST,0.5,10000.0,0.0027040711413224756
10.0,13.120160998797505,0.8,ST,0.5,10000.0,0.0026694524332282563
10.0,13.830106302929654,0.8,ST,0.5,10000.0,0.0026290766415457
10.0,14.578467472149546,0.8,ST,0.5,10000.0,0.0025835942624250806
10.0,15.367323228130308,0.8,ST,0.5,10000.0,0.002533640954572093
10.0,16.198864774296695,0.8,ST,0.5,10000.0,0.0024798304592902236
10.0,17.07540188232742,0.8,ST,0.5,10000.0,0.002422747412476232
10.0,17.999369308004486,0.8,ST,0.5,10000.0,0.0023629070388513198
10.0,18.973333554230518,0.8,ST,0.5,10000.0,0.0023008356767177532
10.0,20.000000000000004,0.8,ST,0.5,10000.0,0.002237003076029023
10.0,3.0,0.8,ST,0.5,15000.0,0.0003101670487913669
10.0,3.1623330622689494,0.8,ST,0.5,15000.0,0.00038857690366958183
10.0,3.33345013223977,0.8,ST,0.5,15000.0,0.00047640815366810265
10.0,3.5138265215355418,0.8,ST,0.5,15000.0,0.0005727337395209988
10.0,3.703963261376446,0.8,ST,0.5,15000.0,0.0006763297888347426
10.0,3.9043884942934204,0.8,ST,0.5,15000.0,0.0007857438671198051
10.0,4.1156589411488556,0.8,ST,0.5,15000.0,0.0008993705566861696
10.0,4.338361447539279,0.8,ST,0.5,15000.0,0.0010155047679888244
10.0,4.573114613875481,0.8,ST,0.5,15000.0,0.0011324421581042497
10.0,4.820570513667911,0.8,ST,0.5,15000.0,0.001248480805565098
10.0,5.0814165047902815,0.8,ST,0.5,15000.0,0.0013620517109597802
10.0,5.356377138752477,0.8,ST,0.5,15000.0,0.0014717020204150822
10.0,5.389452332657201,0.8,ST,0.5,15000.0,0.0014841972783199565
10.0,5.646216173286171,0.8,ST,0.5,15000.0,0.0015761380095614757
10.0,5.9517386938335095,0.8,ST,0.5,15000.0,0.0016742453138818636
10.0,6.273793349831704,0.8,ST,0.5,15000.0,0.0017650964696751328
10.0,6.613274712005288,0.8,ST,0.5,15000.0,0.001847978637518803
10.0,6.971125757213828,0.8,ST,0.5,15000.0,0.001922324810821139
10.0,7.3483404877573175,0.8,ST,0.5,15000.0,0.0019878087568730315
10.0,7.745966692414836,0.8,ST,0.5,15000.0,0.002044189808145841
10.0,8.165108856885828,0.8,ST,0.5,15000.0,0.0020914154291598883
10.0,8.606931231718361,0.8,ST,0.5,15000.0,0.0021295986749250767
10.0,9.072661066246061,0.8,ST,0.5,15000.0,0.002158911079914152
10.0,9.563592017516726,0.8,ST,0.5,15000.0,0.002179642728175698
10.0,10.081087743681516,0.8,ST,0.5,15000.0,0.0021921704509274813
10.0,10.626585691826111,0.8,ST,0.5,15000.0,0.0021969185899442553
10.0,11.20160109076529,0.8,ST,0.5,15000.0,0.0021943436956693113
10.0,11.807731159891665,0.8,ST,0.5,15000.0,0.0021849851556825783
10.0,12.446659545769569,0.8,ST,0.5,15000.0,0.0021693502825114864
10.0,13.120160998797505,0.8,ST,0.5,15000.0,0.0021479834433156477
10.0,13.830106302929654,0.8,ST,0.5,15000.0,0.002121434578257809
10.0,14.578467472149546,0.8,ST,0.5,15000.0,0.0020902290458072893
10.0,15.367323228130308,0.8,ST,0.5,15000.0,0.0020548882039943856
10.0,16.198864774296695,0.8,ST,0.5,15000.0,0.0020159217963057465
10.0,17.07540188232742,0.8,ST,0.5,15000.0,0.0019738215106577433
10.0,17.999369308004486,0.8,ST,0.5,15000.0,0.0019290231548705886
10.0,18.973333554230518,0.8,ST,0.5,15000.0,0.0018819778530102347
10.0,20.000000000000004,0.8,ST,0.5,15000.0,0.0018330898762085658
10.0,3.0,0.8,ST,1.0,8000.0,0.0006009052478748589
10.0,3.1623330622689494,0.8,ST,1.0,8000.0,0.0007305692737719125
10.0,3.33345013223977,0.8,ST,1.0,8000.0,0.00087136186094192
10.0,3.5138265215355418,0.8,ST,1.0,8000.0,0.0010213380074485232
10.0,3.703963261376446,0.8,ST,1.0,8000.0,0.0011782736451847232
10.0,3.9043884942934204,0.8,ST,1.0,8000.0,0.001339782227918872
10.0,4.1156589411488556,0.8,ST,1.0,8000.0,0.0015034202476625757
10.0,4.338361447539279,0.8,ST,1.0,8000.0,0.001666754283827911
10.0,4.573114613875481,0.8,ST,1.0,8000.0,0.0018274870139030122
10.0,4.820570513667911,0.8,ST,1.0,8000.0,0.001983440276645802
10.0,5.0814165047902815,0.8,ST,1.0,8000.0,0.0021327142894195738
10.0,5.356377138752477,0.8,ST,1.0,8000.0,0.00227363387524059
10.0,5.389452332657201,0.8,ST,1.0,8000.0,0.0022894875820886375
10.0,5.646216173286171,0.8,ST,1.0,8000.0,0.0024047960587422457
10.0,5.9517386938335095,0.8,ST,1.0,8000.0,0.002525078585808629
10.0,6.273793349831704,0.8,ST,1.0,8000.0,0.0026336143092435186
10.0,6.613274712005288,0.8,ST,1.0,8000.0,0.0027298357209873682
10.0,6.971125757213828,0.8,ST,1.0,8000.0,0.0028133550752097673
10.0,7.3483404877573175,0.8,ST,1.0,8000.0,0.00288408912745803
10.0,7.745966692414836,0.8,ST,1.0,8000.0,0.0029420491511721438
10.0,8.165108856885828,0.8,ST,1.0,8000.0,0.002987463815270368
10.0,8.606931231718361,0.8,ST,1.0,8000.0,0.0030207406720020443
10.0,9.072661066246061,0.8,ST,1.0,8000.0,0.0030423428596994357
10.0,9.563592017516726,0.8,ST,1.0,8000.0,0.003052857346488169
10.0,10.081087743681516,0.8,ST,1.0,8000.0,0.0030529475258832006
10.0,10.626585691826111,0.8,ST,1.0,8000.0,0.003043311788925178
10.0,11.20160109076529,0.8,ST,1.0,8000.0,0.003024668522994416
10.0,11.807731159891665,0.8,ST,1.0,8000.0,0.0029978085878914814
10.0,12.446659545769569,0.8,ST,1.0,8000.0,0.002963464424784966
10.0,13.120160998797505,0.8,ST,1.0,8000.0,0.0029224024732226296
10.0,13.830106302929654,0.8,ST,1.0,8000.0,0.002875365433531879
10.0,14.578467472149546,0.8,ST,1.0,8000.0,0.002823058445622829
10.0,15.367323228130308,0.8,ST,1.0,8000.0,0.002766166384065177
10.0,16.198864774296695,0.8,ST,1.0,8000.0,0.002705347284026632
10.0,17.07540188232742,0.8,ST,1.0,8000.0,0.002641224946185309
10.0,17.999369308004486,0.8,ST,1.0,8000.0,0.002574347596211203
10.0,18.973333554230518,0.8,ST,1.0,8000.0,0.0025052725933493052
10.0,20.000000000000004,0.8,ST,1.0,8000.0,0.002434496542848962
10.0,3.0,0.8,ST,1.0,10000.0,0.0004966346744093766
10.0,3.1623330622689494,0.8,ST,1.0,10000.0,0.0006090470253873602
10.0,3.33345013223977,0.8,ST,1.0,10000.0,0.0007322184190761236
10.0,3.5138265215355418,0.8,ST,1.0,10000.0,0.0008645438368434391
10.0,3.703963261376446,0.8,ST,1.0,10000.0,0.0010041245650732717
10.0,3.9043884942934204,0.8,ST,1.0,10000.0,0.0011488697491079062
10.0,4.1156589411488556,0.8,ST,1.0,10000.0,0.0012965945288105042
10.0,4.338361447539279,0.8,ST,1.0,10000.0,0.0014450836417878837
10.0,4.573114613875481,0.8,ST,1.0,10000.0,0.0015922112758244892
10.0,4.820570513667911,0.8,ST,1.0,10000.0,0.0017359311721245625
10.0,5.0814165047902815,0.8,ST,1.0,10000.0,0.0018744278649393666
10.0,5.356377138752477,0.8,ST,1.0,10000.0,0.002006076633852877
10.0,5.389452332657201,0.8,ST,1.0,10000.0,0.002020946306379838
10.0,5.646216173286171,0.8,ST,1.0,10000.0,0.0021294886680530986
10.0,5.9517386938335095,0.8,ST,1.0,10000.0,0.0022435254232882527
10.0,6.273793349831704,0.8,ST,1.0,10000.0,0.002347283357741941
