z,as_scale,hmf,cooling_scale,T_min,peak_zeta,observed_over_peak,n_valid_zeta
10.0,0.8,ST,0.5,8000.0,9.803033836484959,0.750398191218342,38
10.0,0.8,ST,0.5,10000.0,10.07252086270759,0.7285937439845236,38
10.0,0.8,ST,0.5,15000.0,10.710006188900065,0.6755565830060277,38
10.0,0.8,ST,1.0,8000.0,9.823730093177529,0.7496393842507807,38
10.0,0.8,ST,1.0,10000.0,10.092941702984882,0.7278592295751038,38
10.0,0.8,ST,1.0,15000.0,10.734646045182691,0.6747223990019946,38
10.0,0.8,ST,2.0,8000.0,9.835331471987585,0.7492336510381121,38
10.0,0.8,ST,2.0,10000.0,10.10388377601036,0.7274756072107383,38
10.0,0.8,ST,2.0,15000.0,10.74806816532092,0.6742820168400295,38
10.0,0.8,PS,0.5,8000.0,12.003240869027506,0.5664007115668799,38
10.0,0.8,PS,0.5,10000.0,12.367370403418684,0.5390676850935072,38
10.0,0.8,PS,0.5,15000.0,13.237204831067702,0.4756177851719381,38
10.0,0.8,PS,1.0,8000.0,12.027017879583148,0.5657079507651417,38
10.0,0.8,PS,1.0,10000.0,12.388698096499104,0.5385014290599311,38
10.0,0.8,PS,1.0,15000.0,13.261137986451542,0.4750641488189703,38
10.0,0.8,PS,2.0,8000.0,12.039231788518954,0.5653558738251562,38
10.0,0.8,PS,2.0,10000.0,12.399632310650942,0.5382145678348712,38
10.0,0.8,PS,2.0,15000.0,13.273510909810405,0.4747824880734703,38
10.0,1.0,ST,0.5,8000.0,8.526551888652943,0.8529079006823197,38
10.0,1.0,ST,0.5,10000.0,8.742986949140647,0.8361473236249671,38
10.0,1.0,ST,0.5,15000.0,9.26547064753053,0.7941125983980922,38
10.0,1.0,ST,1.0,8000.0,8.548345354415758,0.8520409034884939,38
10.0,1.0,ST,1.0,10000.0,8.76465059858165,0.8352618089365857,38
10.0,1.0,ST,1.0,15000.0,9.29244848977287,0.7930250701626544,38
10.0,1.0,ST,2.0,8000.0,8.560462043961564,0.8515725707176031,38
10.0,1.0,ST,2.0,10000.0,8.776844511486198,0.8347795115191169,38
10.0,1.0,ST,2.0,15000.0,9.3079306476741,0.7924246322493884,38
10.0,1.0,PS,0.5,8000.0,10.311457958129433,0.7043142831789757,38
10.0,1.0,PS,0.5,10000.0,10.609079854049536,0.6800375146429164,38
10.0,1.0,PS,0.5,15000.0,11.31816270359153,0.621683410367579,38
10.0,1.0,PS,1.0,8000.0,10.331522501814925,0.703582652014254,38
10.0,1.0,PS,1.0,10000.0,10.628633540866891,0.6793725847022859,38
10.0,1.0,PS,1.0,15000.0,11.341557205088494,0.6209554530872592,38
10.0,1.0,PS,2.0,8000.0,10.342013839825087,0.7032066216775625,38
10.0,1.0,PS,2.0,10000.0,10.63891205078123,0.6790301850611633,38
10.0,1.0,PS,2.0,15000.0,11.354028223552922,0.6205773930166373,38
10.0,1.2,ST,0.5,8000.0,7.6334926193413395,0.9160598683429138,38
10.0,1.2,ST,0.5,10000.0,7.819158068822193,0.9037002387395172,38
10.0,1.2,ST,0.5,15000.0,8.265327670952374,0.8717520268214533,38
10.0,1.2,ST,1.0,8000.0,7.657468748020052,0.9151223943702151,38
10.0,1.2,ST,1.0,10000.0,7.843703649138156,0.9026911612818652,38
10.0,1.2,ST,1.0,15000.0,8.296191560156993,0.8704479391642281,38
10.0,1.2,ST,2.0,8000.0,7.671439014446247,0.9145919684892478,38
10.0,1.2,ST,2.0,10000.0,7.858193914924416,0.9021149702220124,38
10.0,1.2,ST,2.0,15000.0,8.31478348326444,0.8696926146912465,38
10.0,1.2,PS,0.5,8000.0,9.14828076409418,0.8010468111273021,38
10.0,1.2,PS,0.5,10000.0,9.396390430592922,0.7807230509613254,38
10.0,1.2,PS,0.5,15000.0,10.000665471036859,0.7304832858352497,38
10.0,1.2,PS,1.0,8000.0,9.167995903672919,0.8002647671752484,38
10.0,1.2,PS,1.0,10000.0,9.416885952344074,0.7799553069259952,38
10.0,1.2,PS,1.0,15000.0,10.025906388607531,0.7295747496785838,38
10.0,1.2,PS,2.0,8000.0,9.178600922945291,0.7998541258499201,38
10.0,1.2,PS,2.0,10000.0,9.428018919979639,0.7795497694655804,38
10.0,1.2,PS,2.0,15000.0,10.039860282468156,0.7290891953509285,38
8.0,0.8,ST,0.5,8000.0,7.841758064800319,0.9020866936496241,38
8.0,0.8,ST,0.5,10000.0,8.084303038072054,0.8851462718785513,38
8.0,0.8,ST,0.5,15000.0,8.515721785464535,0.8529167306009969,38
8.0,0.8,ST,1.0,8000.0,7.868022846975845,0.9009989141113837,38
8.0,0.8,ST,1.0,10000.0,8.11287952092035,0.8839835139811375,38
8.0,0.8,ST,1.0,15000.0,8.550740733234344,0.8514727025011161,38
8.0,0.8,ST,2.0,8000.0,7.883052123336485,0.9003940149389219,38
8.0,0.8,ST,2.0,10000.0,8.129493030962509,0.8833294479992914,38
8.0,0.8,ST,2.0,15000.0,8.571484852020122,0.850649459790822,38
8.0,0.8,PS,0.5,8000.0,9.420710589578118,0.7783713142207035,38
8.0,0.8,PS,0.5,10000.0,9.747440513342642,0.7514075121772774,38
8.0,0.8,PS,0.5,15000.0,10.329392833536849,0.7025106209683575,38
8.0,0.8,PS,1.0,8000.0,9.446122244521352,0.7774007747775351,38
8.0,0.8,PS,1.0,10000.0,9.771177229064795,0.750488955112054,38
8.0,0.8,PS,1.0,15000.0,10.358414151402467,0.7014866062347019,38
8.0,0.8,PS,2.0,8000.0,9.459657423673212,0.7768946083943856,38
8.0,0.8,PS,2.0,10000.0,9.783932287394604,0.7500080164923477,38
8.0,0.8,PS,2.0,15000.0,10.375046751840761,0.700934450167155,38
8.0,1.0,ST,0.5,8000.0,6.870288375963176,0.9598105092967085,38
8.0,1.0,ST,0.5,10000.0,7.0697731982235865,0.9493725156792255,38
8.0,1.0,ST,0.5,15000.0,7.4242179909264445,0.9285289364721389,38
8.0,1.0,ST,1.0,8000.0,6.900753820762819,0.9587434945271942,38
8.0,1.0,ST,1.0,10000.0,7.101526957929766,0.9481470396569485,38
8.0,1.0,ST,1.0,15000.0,7.463030592083371,0.9269122772063381,38
8.0,1.0,ST,2.0,8000.0,6.919302958721966,0.9581072164406815,38
8.0,1.0,ST,2.0,10000.0,7.121172131541466,0.947408517109991,38
8.0,1.0,ST,2.0,15000.0,7.487500211304545,0.9259254928006976,38
8.0,1.0,PS,0.5,8000.0,8.16533042965017,0.8773087087846559,38
8.0,1.0,PS,0.5,10000.0,8.4306685748409,0.8572922526125528,38
8.0,1.0,PS,0.5,15000.0,8.908392678432639,0.8195877166687383,38
8.0,1.0,PS,1.0,8000.0,8.190060448275545,0.876291755211861,38
8.0,1.0,PS,1.0,10000.0,8.45718413448007,0.8562299634651512,38
8.0,1.0,PS,1.0,15000.0,8.940948612399234,0.8182887226194522,38
8.0,1.0,PS,2.0,8000.0,8.20382271752226,0.8757409134722115,38
8.0,1.0,PS,2.0,10000.0,8.472147729152084,0.8556490720445108,38
8.0,1.0,PS,2.0,15000.0,8.959656803389457,0.8175693767179284,38
8.0,1.2,ST,0.5,8000.0,6.185287962164704,0.9873936780420661,38
8.0,1.2,ST,0.5,10000.0,6.355267911436612,0.981719277015118,38
8.0,1.2,ST,0.5,15000.0,6.657385929779655,0.9694150841704524,38
8.0,1.2,ST,1.0,8000.0,6.219360557021475,0.9865359360336446,38
8.0,1.2,ST,1.0,10000.0,6.39114893863842,0.9806503796177912,38
8.0,1.2,ST,1.0,15000.0,6.700997912631509,0.9678833498050966,38
8.0,1.2,ST,2.0,8000.0,6.2412259270752255,0.9859848231767693,38
8.0,1.2,ST,2.0,10000.0,6.414521928800863,0.9799591292595711,38
8.0,1.2,ST,2.0,15000.0,6.729933737261796,0.9668832684541924,38
8.0,1.2,PS,0.5,8000.0,7.28998585456219,0.9359097059411757,38
8.0,1.2,PS,0.5,10000.0,7.514690165751157,0.9217442774617265,38
8.0,1.2,PS,0.5,15000.0,7.919964562696188,0.8940821885907229,38
8.0,1.2,PS,1.0,8000.0,7.316573923868809,0.9348793904507984,38
8.0,1.2,PS,1.0,10000.0,7.542183721448018,0.9205959493903619,38
8.0,1.2,PS,1.0,15000.0,7.954050397684687,0.8926316267774885,38
8.0,1.2,PS,2.0,8000.0,7.3320711064670085,0.9342940454830897,38
8.0,1.2,PS,2.0,10000.0,7.5595186989939025,0.9199657140846628,38
8.0,1.2,PS,2.0,15000.0,7.976147452470777,0.8917707747885716,38
6.0,0.8,ST,0.5,8000.0,6.021917966227832,0.9918445315089949,38
6.0,0.8,ST,0.5,10000.0,6.189111861134991,0.9871820159707965,38
6.0,0.8,ST,0.5,15000.0,6.512763773638495,0.9754273918062399,38
6.0,0.8,ST,1.0,8000.0,6.059975481657537,0.9909883125895467,38
6.0,0.8,ST,1.0,10000.0,6.231732412780314,0.9860815388212847,38
6.0,0.8,ST,1.0,15000.0,6.564757127408658,0.9737394813339982,38
6.0,0.8,ST,2.0,8000.0,6.0845204899313385,0.9904278087478036,38
6.0,0.8,ST,2.0,10000.0,6.259653749153433,0.9853559840995891,38
6.0,0.8,ST,2.0,15000.0,6.599532222235502,0.972617369082485,38
6.0,0.8,PS,0.5,8000.0,7.085227404231422,0.9474403123676998,38
6.0,0.8,PS,0.5,10000.0,7.310985305849154,0.9343665003574524,38
6.0,0.8,PS,0.5,15000.0,7.746682433485058,0.9059056463186766,38
6.0,0.8,PS,1.0,8000.0,7.116809330712253,0.9462069951743468,38
6.0,0.8,PS,1.0,10000.0,7.3453468626331375,0.9329935933483726,38
6.0,0.8,PS,1.0,15000.0,7.7892593753597295,0.9040848416040622,38
6.0,0.8,PS,2.0,8000.0,7.135298682108986,0.9455007501990468,38
6.0,0.8,PS,2.0,10000.0,7.3657833200554395,0.9321987490325107,38
6.0,0.8,PS,2.0,15000.0,7.815144361685277,0.903014780509372,38
6.0,1.0,ST,0.5,8000.0,5.313279622534014,0.9998674832794727,38
6.0,1.0,ST,0.5,10000.0,5.450539758908926,0.9999170525649604,38
6.0,1.0,ST,0.5,15000.0,5.717600684451858,0.9976828329367007,38
6.0,1.0,ST,1.0,8000.0,5.35618610830494,0.9999751612811852,38
6.0,1.0,ST,1.0,10000.0,5.497213600500381,0.9997463310397297,38
6.0,1.0,ST,1.0,15000.0,5.772905137074701,0.9968953390812505,38
6.0,1.0,ST,2.0,8000.0,5.38620155896671,0.999999774725009,38
6.0,1.0,ST,2.0,10000.0,5.530530127647796,0.9995941986250191,38
6.0,1.0,ST,2.0,15000.0,5.813358480329401,0.9963116397047797,38
6.0,1.0,PS,0.5,8000.0,6.195040758957723,0.9867699598337646,38
6.0,1.0,PS,0.5,10000.0,6.37851157946773,0.9803861173551195,38
6.0,1.0,PS,0.5,15000.0,6.7351364469091495,0.9649548676616924,38
6.0,1.0,PS,1.0,8000.0,6.230839102281797,0.985841218683715,38
6.0,1.0,PS,1.0,10000.0,6.415845008832069,0.9792310033311576,38
6.0,1.0,PS,1.0,15000.0,6.781142964397487,0.9632359608208316,38
6.0,1.0,PS,2.0,8000.0,6.253156962560056,0.985261126910253,38
6.0,1.0,PS,2.0,10000.0,6.43949506337153,0.9785046538231383,38
6.0,1.0,PS,2.0,15000.0,6.812598736633475,0.9621742716449622,38
6.0,1.2,ST,0.5,8000.0,4.809786062927781,0.9917936142295479,38
6.0,1.2,ST,0.5,10000.0,4.925429206811659,0.9947927954854577,38
